"Category","Asset","Vendor","Version","Path","Evidence","RecommendedRole","AuthorityRecommendation","Notes","RiskIds"
"Terrain","Vista Personal","Pinwheel Studio","3000.2.0","Assets/PinwheelStudio/Vista/Personal","metadata and VISTA define","Procedural terrain and biome generation","Authoritative terrain/biome generator","Coordinate roads, vegetation, and graph export after Vista generation","R015,R016"
"Props","Spline Spawner","Staggart Creations","package.json 1.2.0; meta 1.2.1","Packages/xyz.staggart-creations.spline-spawner","embedded package manifest and metadata","Roadside/object distribution along splines","Use after road/terrain authority is stable","Version mismatch; do not upgrade during Prompt 002","R017"
"Water","River Modeler","Staggart Creations","package.json 1.0.5; meta 1.0.4","Assets/RiverModeler","package.json and metadata","Spline-based river geometry and VFX","Authoring helper, not world authority","Version mismatch; defer deep integration","R018"
"Weather","Weather Maker - Volumetric Clouds and Weather System","Digital Ruby","8.0.9","Assets/WeatherMaker","Readme/changelog","Weather, sky, wind, time of day, weather zones","Authoritative weather/time/wind","Requires URP activation and color-space decision","R001,R006,R023"
"Weather","Weatherade: Snow and Rain System","NOT_Lonely","1.1.8","Assets/NOT_Lonely/Weatherade SRS","metadata and current/target version files","Snow/rain surface accumulation and wetness","Subordinate effect layer driven by Weather Maker","URP support package present; USING_URP absent","R007"
"Navigation","Compass Navigator Pro 4","Kronnect","6.0.2","Assets/Plugins/Kronnect/CompassNavigatorPro","metadata and readme","GPS, minimap, POI, route visualization","Authoritative route/POI display only","Feed route world points from LWS road graph","R009,R021,R022"
"Dialogue","Dialogue System for Unity","Pixel Crushers","2.2.73.2","Assets/Plugins/Pixel Crushers/Dialogue System","_README.txt","Dialogue, quests, barks, Lua, UI","Optional narrative authority","Keep freight/economy/save root outside Dialogue System","R021"
"AI Dialogue","Dialogue System Addon for OpenAI","Pixel Crushers","1.0.37","Assets/Plugins/Pixel Crushers/Dialogue System Addon for OpenAI","_RELEASE_NOTES.txt","Optional editor/runtime AI dialogue tooling","Disabled unless explicitly adopted","Runtime gated by USE_OPENAI; API key security required","R026"
"Streaming","Scene Streamer","Pixel Crushers","1.26.1","Assets/Plugins/Pixel Crushers/Scene Streamer","_README.txt","Optional additive scene streaming","Use only behind LWS streaming facade","Examples require build scenes; current build settings empty","R002,R020,R021"
"Save","Pixel Crushers Common Save System","Pixel Crushers","Bundled with Common library","Assets/Plugins/Pixel Crushers/Common","SaveSystem.cs and Saver.cs","Slot save/load and saver components","Child adapter, not simulator save root","LWS save root should own truck, world, route, jobs, vendor payloads","R021"
"UI","Heat - Complete Modern UI","Michsky","1.1.8","Assets/Heat - Complete Modern UI","metadata","Menus, HUD, localization, controller presets, UI widgets","UI presentation library","Consume LWS state; do not own gameplay",""
"Tweening","DOTween (HOTween v2)","Demigiant","1.2.825","Assets/Plugins/Demigiant/DOTween","metadata and readme","Tweening utility","UI/UX animation helper","Avoid using for player physics motion",""
"Authoring","Path Painter II","3D Haven","version log 2.1.13; meta 2.1.12","Assets/3D Haven/Path Painter II","Version Log.txt and metadata","Terrain/path painting authoring","Editor/content helper","Version marker mismatch; no runtime dependency recommended","R019"
"Authoring","TotalBrush","NOT_Lonely","1.1.8","Assets/NOT_Lonely/TotalBrush","metadata","Mesh/terrain vertex and mask painting","Editor/content helper","Bundled alongside Weatherade metadata version",""
"Authoring","3D Haven root","3D Haven","Mixed","Assets/3D Haven","directory scan","Path Painter II content root","Editor/content helper","Contains DLL-based Path Painter editor/runtime support",""
"RendererAsset","PC_RPAsset","Project/Unity","URP asset","Assets/Settings/PC_RPAsset.asset","settings asset","Potential Standalone render pipeline asset","Candidate active RP asset","Currently not assigned in Graphics/Quality","R001"
"RendererAsset","Mobile_RPAsset","Project/Unity","URP asset","Assets/Settings/Mobile_RPAsset.asset","settings asset","Potential mobile render pipeline asset","Mobile RP candidate","Currently not assigned in Graphics/Quality","R001"
"ProjectSettings","DefaultVolumeProfile","Project/Unity","Unknown","Assets/Settings/DefaultVolumeProfile.asset","YAML missing script scan","Volume profile","Needs cleanup/replacement","Contains five exact missing script references","R003"
"LargeAsset","Snow normal/height/spec texture","NOT_Lonely Weatherade","1.1.8 package asset","Assets/NOT_Lonely/Weatherade SRS/Textures/Snow_01_n_h_sm.tif","large file scan and git lfs ls-files","Texture asset","Keep in LFS","Approx 130.99 MiB","R005"
"LargeAsset","UTS Camaro texture PSD 1","UTS","2.0 package asset","Assets/UTS_FullPack/Models/Cars/Textures/Car_4/1.psd","large file scan and git lfs ls-files","Source texture asset","Keep in LFS","Approx 103.15 MiB","R005"
"LargeAsset","UTS Camaro stripe PSD","UTS","2.0 package asset","Assets/UTS_FullPack/Models/Cars/Textures/Car_4/полосы камаро1.psd","large file scan and git lfs ls-files","Source texture asset","Keep in LFS","Approx 103.64 MiB","R005"
"OptionalPackage","NWH SteeringWheelInput","NWH Coding","Optional unitypackage","Assets/NWH/Vehicle Physics 2/_OptionalPackages/Input/SteeringWheelInput.unitypackage","optional package scan","Future wheel/FFB integration","Not active","Do not depend on until imported in a controlled task","R012"
"OptionalPackage","NWH Rewired","NWH Coding","Optional unitypackage","Assets/NWH/Vehicle Physics 2/_OptionalPackages/Input/Rewired.unitypackage","optional package scan","Alternative input integration","Not active","Input System route is currently safer","R010"
"OptionalPackage","NWH Mirror","NWH Coding","Optional unitypackage","Assets/NWH/Vehicle Physics 2/_OptionalPackages/Multiplayer/Mirror.unitypackage","optional package scan","Multiplayer support","Not active","Out of scope for Prompt 002 unless requested",""
"OptionalPackage","NWH PUN2","NWH Coding","Optional unitypackage","Assets/NWH/Vehicle Physics 2/_OptionalPackages/Multiplayer/PUN2.unitypackage","optional package scan","Multiplayer support","Not active","Out of scope for Prompt 002 unless requested",""
"OptionalPackage","EasyRoads URP support packages","EasyRoads3D","URP 12-17 packages plus beta 17.3","Assets/EasyRoads3D/SRP Support Packages","unitypackage scan","Material/render-pipeline support","Import only during render-pipeline setup","Project URP is 17.4, so validate compatibility","R001,R006"
"OptionalPackage","Weatherade URP support packages","NOT_Lonely","URP and URP 17.1 package files","Assets/NOT_Lonely/Weatherade SRS/URP Support","unitypackage scan","Weatherade URP support","Import only during render-pipeline setup","USING_URP currently absent","R007"
"Missing","Vegetation Spawner FREE","Unknown","Not installed","N/A","targeted search","Planned vegetation tool","Unresolved","Decide whether Vista owns vegetation for now","R016"
"Missing","Shift - Complete Sci-Fi UI","Michsky or package vendor","Not installed","N/A","targeted search","Planned UI package","Unavailable","Use installed Heat UI or import in separate vendor task","R025"
"Missing","Weather Sound FX Loops","Unknown","Not installed","N/A","targeted search","Planned audio package","Unavailable","Use existing audio temporarily or import in separate vendor task","R025"
